step,time_unix,metric,value
1,1788895217.755838,images/detect,118287.0
1,1788895217.755838,images/pose,7404.0
1,1788895217.755838,loss/detect_mean,1.7877605958771692
1,1788895217.755838,loss/joint_mean,1.6169926161436499
1,1788895217.755838,loss/pose_mean,0.9348391198519435
1,1788895217.755838,macros,463.0
1,1788895217.755838,passes/detect,1.0
1,1788895217.755838,passes/pose,1.2414486921529175
1,1788895217.755838,pose_wraps,1.0
2,1788895766.7920258,images/detect,118287.0
2,1788895766.7920258,images/pose,7404.0
2,1788895766.7920258,loss/detect_mean,1.7896926485987352
2,1788895766.7920258,loss/joint_mean,1.621344304398892
2,1788895766.7920258,loss/pose_mean,0.9493439625173823
2,1788895766.7920258,macros,463.0
2,1788895766.7920258,passes/detect,1.0
2,1788895766.7920258,passes/pose,1.2414486921529175
2,1788895766.7920258,pose_wraps,1.0
3,1788896320.9185643,images/detect,118287.0
3,1788896320.9185643,images/pose,7404.0
3,1788896320.9185643,loss/detect_mean,1.7927811711700825
3,1788896320.9185643,loss/joint_mean,1.6222760529823652
3,1788896320.9185643,loss/pose_mean,0.9393604981583689
3,1788896320.9185643,macros,463.0
3,1788896320.9185643,passes/detect,1.0
3,1788896320.9185643,passes/pose,1.2414486921529175
3,1788896320.9185643,pose_wraps,1.0
4,1788896872.0654273,images/detect,118287.0
4,1788896872.0654273,images/pose,7404.0
4,1788896872.0654273,loss/detect_mean,1.7955045502625644
4,1788896872.0654273,loss/joint_mean,1.623755987013218
4,1788896872.0654273,loss/pose_mean,0.9364022641874918
4,1788896872.0654273,macros,463.0
4,1788896872.0654273,passes/detect,1.0
4,1788896872.0654273,passes/pose,1.2414486921529175
4,1788896872.0654273,pose_wraps,1.0
5,1788897425.980782,images/detect,118287.0
5,1788897425.980782,images/pose,7404.0
5,1788897425.980782,loss/detect_mean,1.7962117094712498
5,1788897425.980782,loss/joint_mean,1.6258881956986857
5,1788897425.980782,loss/pose_mean,0.9438984989153895
5,1788897425.980782,macros,463.0
5,1788897425.980782,passes/detect,1.0
5,1788897425.980782,passes/pose,1.2414486921529175
5,1788897425.980782,pose_wraps,1.0
