step,time_unix,metric,value
0,1789108016.7750218,images/detect,118287.0
0,1789108016.7750218,images/pose,7404.0
0,1789108016.7750218,loss/detect_mean,1.646086129919126
0,1789108016.7750218,loss/joint_mean,1.5669128380721216
0,1789108016.7750218,loss/pose_mean,1.2493115049771268
0,1789108016.7750218,macros,463.0
0,1789108016.7750218,passes/detect,1.0
0,1789108016.7750218,passes/pose,1.2414486921529175
0,1789108016.7750218,pose_wraps,1.0
1,1789110391.5129805,images/detect,118287.0
1,1789110391.5129805,images/pose,7404.0
1,1789110391.5129805,loss/detect_mean,1.7170487028590196
1,1789110391.5129805,loss/joint_mean,1.6199667722222797
1,1789110391.5129805,loss/pose_mean,1.2360898366430397
1,1789110391.5129805,macros,463.0
1,1789110391.5129805,passes/detect,1.0
1,1789110391.5129805,passes/pose,1.2414486921529175
1,1789110391.5129805,pose_wraps,1.0
2,1789112766.5440707,images/detect,118287.0
2,1789112766.5440707,images/pose,7404.0
2,1789112766.5440707,loss/detect_mean,1.7957851395045088
2,1789112766.5440707,loss/joint_mean,1.6913272426761785
2,1789112766.5440707,loss/pose_mean,1.2760277511879021
2,1789112766.5440707,macros,463.0
2,1789112766.5440707,passes/detect,1.0
2,1789112766.5440707,passes/pose,1.2414486921529175
2,1789112766.5440707,pose_wraps,1.0
3,1789115140.8180964,images/detect,118287.0
3,1789115140.8180964,images/pose,7404.0
3,1789115140.8180964,loss/detect_mean,1.8712256842430228
3,1789115140.8180964,loss/joint_mean,1.7556551930868352
3,1789115140.8180964,loss/pose_mean,1.292497944535596
3,1789115140.8180964,macros,463.0
3,1789115140.8180964,passes/detect,1.0
3,1789115140.8180964,passes/pose,1.2414486921529175
3,1789115140.8180964,pose_wraps,1.0
4,1789117521.5003219,images/detect,118287.0
4,1789117521.5003219,images/pose,7404.0
4,1789117521.5003219,loss/detect_mean,1.9444209263151335
4,1789117521.5003219,loss/joint_mean,1.8156888228178556
4,1789117521.5003219,loss/pose_mean,1.2974555711370104
4,1789117521.5003219,macros,463.0
4,1789117521.5003219,passes/detect,1.0
4,1789117521.5003219,passes/pose,1.2414486921529175
4,1789117521.5003219,pose_wraps,1.0
