step,time_unix,metric,value
0,1789081140.547313,images/detect,118287.0
0,1789081140.547313,images/pose,7404.0
0,1789081140.547313,loss/detect_mean,1.6520275162019091
0,1789081140.547313,loss/joint_mean,1.581780048534972
0,1789081140.547313,loss/pose_mean,1.2997023231077685
0,1789081140.547313,macros,463.0
0,1789081140.547313,passes/detect,1.0
0,1789081140.547313,passes/pose,1.2414486921529175
0,1789081140.547313,pose_wraps,1.0
1,1789083515.1720576,images/detect,118287.0
1,1789083515.1720576,images/pose,7404.0
1,1789083515.1720576,loss/detect_mean,1.6799175505580195
1,1789083515.1720576,loss/joint_mean,1.5995834653861574
1,1789083515.1720576,loss/pose_mean,1.2824868705065298
1,1789083515.1720576,macros,463.0
1,1789083515.1720576,passes/detect,1.0
1,1789083515.1720576,passes/pose,1.2414486921529175
1,1789083515.1720576,pose_wraps,1.0
2,1789085892.0690417,images/detect,118287.0
2,1789085892.0690417,images/pose,7404.0
2,1789085892.0690417,loss/detect_mean,1.7133039559642125
2,1789085892.0690417,loss/joint_mean,1.6248112741136316
2,1789085892.0690417,loss/pose_mean,1.2729987371682734
2,1789085892.0690417,macros,463.0
2,1789085892.0690417,passes/detect,1.0
2,1789085892.0690417,passes/pose,1.2414486921529175
2,1789085892.0690417,pose_wraps,1.0
3,1789088269.747224,images/detect,118287.0
3,1789088269.747224,images/pose,7404.0
3,1789088269.747224,loss/detect_mean,1.7473920208774083
3,1789088269.747224,loss/joint_mean,1.656138006536287
3,1789088269.747224,loss/pose_mean,1.290319145080014
3,1789088269.747224,macros,463.0
3,1789088269.747224,passes/detect,1.0
3,1789088269.747224,passes/pose,1.2414486921529175
3,1789088269.747224,pose_wraps,1.0
4,1789090648.3124387,images/detect,118287.0
4,1789090648.3124387,images/pose,7404.0
4,1789090648.3124387,loss/detect_mean,1.7798437298176144
4,1789090648.3124387,loss/joint_mean,1.6819381070222843
4,1789090648.3124387,loss/pose_mean,1.2873987959630422
4,1789090648.3124387,macros,463.0
4,1789090648.3124387,passes/detect,1.0
4,1789090648.3124387,passes/pose,1.2414486921529175
4,1789090648.3124387,pose_wraps,1.0
5,1789093026.7836294,images/detect,118287.0
5,1789093026.7836294,images/pose,7404.0
5,1789093026.7836294,loss/detect_mean,1.8136475891583093
5,1789093026.7836294,loss/joint_mean,1.7045667478109614
5,1789093026.7836294,loss/pose_mean,1.268248493641792
5,1789093026.7836294,macros,463.0
5,1789093026.7836294,passes/detect,1.0
5,1789093026.7836294,passes/pose,1.2414486921529175
5,1789093026.7836294,pose_wraps,1.0
6,1789095405.3705273,images/detect,118287.0
6,1789095405.3705273,images/pose,7404.0
6,1789095405.3705273,loss/detect_mean,1.8446321692775485
6,1789095405.3705273,loss/joint_mean,1.7290945923568692
6,1789095405.3705273,loss/pose_mean,1.2682955114342984
6,1789095405.3705273,macros,463.0
6,1789095405.3705273,passes/detect,1.0
6,1789095405.3705273,passes/pose,1.2414486921529175
6,1789095405.3705273,pose_wraps,1.0
7,1789097789.9852805,images/detect,118287.0
7,1789097789.9852805,images/pose,7404.0
7,1789097789.9852805,loss/detect_mean,1.8798060448578249
7,1789097789.9852805,loss/joint_mean,1.7580826584721223
7,1789097789.9852805,loss/pose_mean,1.2699684021216608
7,1789097789.9852805,macros,463.0
7,1789097789.9852805,passes/detect,1.0
7,1789097789.9852805,passes/pose,1.2414486921529175
7,1789097789.9852805,pose_wraps,1.0
8,1789100168.7553587,images/detect,118287.0
8,1789100168.7553587,images/pose,7404.0
8,1789100168.7553587,loss/detect_mean,1.9080857957356885
8,1789100168.7553587,loss/joint_mean,1.7842129508834508
8,1789100168.7553587,loss/pose_mean,1.2864174867307476
8,1789100168.7553587,macros,463.0
8,1789100168.7553587,passes/detect,1.0
8,1789100168.7553587,passes/pose,1.2414486921529175
8,1789100168.7553587,pose_wraps,1.0
9,1789102549.5358877,images/detect,118287.0
9,1789102549.5358877,images/pose,7404.0
9,1789102549.5358877,loss/detect_mean,1.9441791650586546
9,1789102549.5358877,loss/joint_mean,1.8101341882577642
9,1789102549.5358877,loss/pose_mean,1.270165753583532
9,1789102549.5358877,macros,463.0
9,1789102549.5358877,passes/detect,1.0
9,1789102549.5358877,passes/pose,1.2414486921529175
9,1789102549.5358877,pose_wraps,1.0
