step,time_unix,metric,value
1,1788886432.0748098,images/detect,118287.0
1,1788886432.0748098,images/pose,7404.0
1,1788886432.0748098,loss/detect_mean,1.7887820299844779
1,1788886432.0748098,loss/joint_mean,1.6182008853775711
1,1788886432.0748098,loss/pose_mean,0.9368157637950087
1,1788886432.0748098,macros,463.0
1,1788886432.0748098,passes/detect,1.0
1,1788886432.0748098,passes/pose,1.2414486921529175
1,1788886432.0748098,pose_wraps,1.0
2,1788887078.8460264,images/detect,118287.0
2,1788887078.8460264,images/pose,7404.0
2,1788887078.8460264,loss/detect_mean,1.7931527777401104
2,1788887078.8460264,loss/joint_mean,1.6247638950766738
2,1788887078.8460264,loss/pose_mean,0.952708478878151
2,1788887078.8460264,macros,463.0
2,1788887078.8460264,passes/detect,1.0
2,1788887078.8460264,passes/pose,1.2414486921529175
2,1788887078.8460264,pose_wraps,1.0
3,1788887733.2368412,images/detect,118287.0
3,1788887733.2368412,images/pose,7404.0
3,1788887733.2368412,loss/detect_mean,1.7953787803351595
3,1788887733.2368412,loss/joint_mean,1.6242351122431125
3,1788887733.2368412,loss/pose_mean,0.938836971532326
3,1788887733.2368412,macros,463.0
3,1788887733.2368412,passes/detect,1.0
3,1788887733.2368412,passes/pose,1.2414486921529175
3,1788887733.2368412,pose_wraps,1.0
4,1788888389.4019508,images/detect,118287.0
4,1788888389.4019508,images/pose,7404.0
4,1788888389.4019508,loss/detect_mean,1.7968014185606012
4,1788888389.4019508,loss/joint_mean,1.624505488695731
4,1788888389.4019508,loss/pose_mean,0.9347851242908332
4,1788888389.4019508,macros,463.0
4,1788888389.4019508,passes/detect,1.0
4,1788888389.4019508,passes/pose,1.2414486921529175
4,1788888389.4019508,pose_wraps,1.0
5,1788889040.9856377,images/detect,118287.0
5,1788889040.9856377,images/pose,7404.0
5,1788889040.9856377,loss/detect_mean,1.7962709413963955
5,1788889040.9856377,loss/joint_mean,1.6242077287501604
5,1788889040.9856377,loss/pose_mean,0.9350662290695743
5,1788889040.9856377,macros,463.0
5,1788889040.9856377,passes/detect,1.0
5,1788889040.9856377,passes/pose,1.2414486921529175
5,1788889040.9856377,pose_wraps,1.0
