step,time_unix,metric,value
0,1789120160.9650402,images/detect,118287.0
0,1789120160.9650402,images/pose,7404.0
0,1789120160.9650402,loss/detect_mean,1.7763950631018801
0,1789120160.9650402,loss/joint_mean,1.7274713511180324
0,1789120160.9650402,loss/pose_mean,1.5312535630117423
0,1789120160.9650402,macros,463.0
0,1789120160.9650402,passes/detect,1.0
0,1789120160.9650402,passes/pose,1.2414486921529175
0,1789120160.9650402,pose_wraps,1.0
1,1789122731.489041,images/detect,118287.0
1,1789122731.489041,images/pose,7404.0
1,1789122731.489041,loss/detect_mean,1.8223747229488836
1,1789122731.489041,loss/joint_mean,1.749140649900924
1,1789122731.489041,loss/pose_mean,1.460773148580476
1,1789122731.489041,macros,463.0
1,1789122731.489041,passes/detect,1.0
1,1789122731.489041,passes/pose,1.2414486921529175
1,1789122731.489041,pose_wraps,1.0
2,1789125306.9616213,images/detect,118287.0
2,1789125306.9616213,images/pose,7404.0
2,1789125306.9616213,loss/detect_mean,1.8925707031632866
2,1789125306.9616213,loss/joint_mean,1.810122925496255
2,1789125306.9616213,loss/pose_mean,1.4830461802964336
2,1789125306.9616213,macros,463.0
2,1789125306.9616213,passes/detect,1.0
2,1789125306.9616213,passes/pose,1.2414486921529175
2,1789125306.9616213,pose_wraps,1.0
3,1789127884.1862547,images/detect,118287.0
3,1789127884.1862547,images/pose,7404.0
3,1789127884.1862547,loss/detect_mean,1.9640154062921091
3,1789127884.1862547,loss/joint_mean,1.8701952903806272
3,1789127884.1862547,loss/pose_mean,1.4943353077452097
3,1789127884.1862547,macros,463.0
3,1789127884.1862547,passes/detect,1.0
3,1789127884.1862547,passes/pose,1.2414486921529175
3,1789127884.1862547,pose_wraps,1.0
4,1789130466.4466248,images/detect,118287.0
4,1789130466.4466248,images/pose,7404.0
4,1789130466.4466248,loss/detect_mean,2.0377445680180224
4,1789130466.4466248,loss/joint_mean,1.9304029981801636
4,1789130466.4466248,loss/pose_mean,1.4974904176288524
4,1789130466.4466248,macros,463.0
4,1789130466.4466248,passes/detect,1.0
4,1789130466.4466248,passes/pose,1.2414486921529175
4,1789130466.4466248,pose_wraps,1.0
