step,time_unix,metric,value
0,1789132582.9477081,images/detect,0.0
0,1789132582.9477081,images/pose,5964.0
0,1789132582.9477081,loss/detect_mean,0.0
0,1789132582.9477081,loss/joint_mean,6.322682698567708
0,1789132582.9477081,loss/pose_mean,6.322682698567708
0,1789132582.9477081,macros,373.0
0,1789132582.9477081,passes/detect,0.0
0,1789132582.9477081,passes/pose,1.0
0,1789132582.9477081,pose_wraps,0.0
1,1789132804.5744283,images/detect,0.0
1,1789132804.5744283,images/pose,5964.0
1,1789132804.5744283,loss/detect_mean,0.0
1,1789132804.5744283,loss/joint_mean,5.076705389579297
1,1789132804.5744283,loss/pose_mean,5.076705389579297
1,1789132804.5744283,macros,373.0
1,1789132804.5744283,passes/detect,0.0
1,1789132804.5744283,passes/pose,1.0
1,1789132804.5744283,pose_wraps,0.0
2,1789133027.4673846,images/detect,0.0
2,1789133027.4673846,images/pose,5964.0
2,1789133027.4673846,loss/detect_mean,0.0
2,1789133027.4673846,loss/joint_mean,4.661497251688434
2,1789133027.4673846,loss/pose_mean,4.661497251688434
2,1789133027.4673846,macros,373.0
2,1789133027.4673846,passes/detect,0.0
2,1789133027.4673846,passes/pose,1.0
2,1789133027.4673846,pose_wraps,0.0
3,1789133249.649681,images/detect,0.0
3,1789133249.649681,images/pose,5964.0
3,1789133249.649681,loss/detect_mean,0.0
3,1789133249.649681,loss/joint_mean,4.476287371675733
3,1789133249.649681,loss/pose_mean,4.476287371675733
3,1789133249.649681,macros,373.0
3,1789133249.649681,passes/detect,0.0
3,1789133249.649681,passes/pose,1.0
3,1789133249.649681,pose_wraps,0.0
4,1789133473.1449735,images/detect,0.0
4,1789133473.1449735,images/pose,5964.0
4,1789133473.1449735,loss/detect_mean,0.0
4,1789133473.1449735,loss/joint_mean,4.34322073825808
4,1789133473.1449735,loss/pose_mean,4.34322073825808
4,1789133473.1449735,macros,373.0
4,1789133473.1449735,passes/detect,0.0
4,1789133473.1449735,passes/pose,1.0
4,1789133473.1449735,pose_wraps,0.0
